"Custom duties","Taxes and Duties"
"Price HT","Price"
"Last Price HT","Last Price"
"Total HT","Total"
"Delivery Date","Estimated time of arrival"
"Total TTC","Total incl VAT"
"Custom duties","VAT and duties"
"Sell Price","Sale price"
"Buy Price","Buying Price"
"Sell Price Excl. tax","Sale price excl VAT"
"Sell Price All taxes included","Sale price incl VAT"
"manual_supply_need","Manual Supply Need"
"sales_order","Sales order"
"min_qty","Min qty"
"pending_supply","Pending supply"
"rma_reservation","RMA Reservation"
"1_valid_orders","Valid orders"
"2_orders","All Orders"
"3_prefered_stock_level","Prefered stock level"
"4_manual_supply_need","Manual supply need"
"5_pending_delivery","Pending delivery"
